Country,state,city,region,region_alt,region_alt_2,region_alt_atlantia,am
NI,Managua,Managua,Region I,,,,
VE,Miranda,Guatire,Capital,,,,AM de Caracas
CO,Huila,Campoalegre,Central,Sur Occidente,,Sur,AM de Neiva
MX,Puebla,San Salvador El Verde,East,Area 4,Sur,Occidente Pacífico,AM de Puebla
PA,Herrera,Chitré,Other,,,,
CL,Metropolitana de Santiago,El Bosque,Metropolitana de Santiago,Metropolitana,,,AM de Santiago
BR,Pernambuco,Custódia,Nordeste,,,,AM de Rest of Pernambuco
MX,Puebla,Puebla,East,Area 4,Sur,Occidente Pacífico,AM de Puebla
BR,Goiás,Formosa,Centro-Oeste,,,,AM de Brasilia
BR,Pará,Parauapebas,Norte,,,,
CR,Cartago,Pejivalle,Cartago,,,,
PE,Arequipa,Arequipa,South,,,,AM de Arequipa
CR,San José,Escazú,San Jose,,,,
HN,Olancho,,Centro Oriental,,,,
CR,Limón,Ciudad de Limón,Other,,,,
EC,Manabí,Montecristi,Costa/Cost,Costa,,Costa,
BR,São Paulo,Iracemápolis,Sudeste,,,,AM de Rest of SP
AR,GBA Sur,Guernica,GBA,,,,AMBA
CR,San José,Vázquez de Coronado,San Jose,,,,
BR,Goiás,Posee,Centro-Oeste,,,,AM de Rest of Goias
BR,Bahia,Ipupiara,Nordeste,,,,AM de Rest of Bahia
PY,Ñeembucú,,Oriental,,,,
BR,Goiás,Bom Jesus de Goiás,Centro-Oeste,,,,AM de Rest of Goias
BR,Minas Gerais,Alfenas,Sudeste,,,,AM de Rest of Minas
EC,Guayas,Samborondón,Costa/Cost,Guayas,,Pichincha,
BR,Sergipe,Pirambu,Nordeste,,,,
EC,Esmeraldas,San Lorenzo,Costa/Cost,Costa,,Costa,
DO,Samaná,,Cibao Nordeste,,,,
CO,Magdalena,Algarrobo,Atlantic,Costa Atlantica,,Norte,
BR,Paraná,Bom Jesus do Sul,Sul,,,,AM de Rest of Parana
EC,Cotopaxi,Latacunga,Sierra,Sierra,,Sierra,
BR,São Paulo,Pompéia,Sudeste,,,,AM de Rest of SP
BR,São Paulo,União Paulista,Sudeste,,,,AM de Rest of SP
SV,Chalatenango,Agua Fría,Central,,,,
CO,Boyacá,Briceño,Oriental,Centro,,Andes,
MX,Quintana Roo,Chetumal,Southeast,Area 6,,,
PR,Carolina,Carolina,Other,,,,San Juan
GT,Suchitepéquez,Chicacao,Region VI- Suroccidental,,,,
CL,Libertador General Bernardo O'Higgins,Olivar,Central,,,,
CO,Valle del Cauca,Andalucía,Pacific,Sur Occidente,,Sur,
CO,Caquetá,El Paujil,Amazonica,Sur Occidente,,Sur,
BR,Minas Gerais,Inhaúma,Sudeste,,,,AM de Rest of Minas
BR,Santa Catarina,Agrolândia,Sul,,,,AM de Rest of Santa Catarina
CR,San José,Cajón,San Jose,,,,
AR,Resto de la Provincia de Buenos Aires,Monte Hermoso,Provincia de Buenos Aires,,,,
BR,São Paulo,Cedral,Sudeste,,,,AM de Rest of SP
NI,Masaya,Pacaya,Region II,,,,
CO,Cundinamarca,Villapinzón,Central,Centro,,Andes,
BR,Bahia,Antônio Gonçalves,Nordeste,,,,AM de Rest of Bahia
BR,Bahia,Salinas da Margarida,Nordeste,,,,AM de Rest of Bahia
BR,São Paulo,Charqueada,Sudeste,,,,AM de Rest of SP
CR,Heredia,San Joaquín,Other,,,,
CO,Cauca,Corinto,Pacific,Sur Occidente,,Sur,
PA,Los Santos,Guararé,Other,,,,
BR,Paraná,Balsa Nova,Sul,,,,AM de Curitiba
GT,Alta Verapaz,Lanquín,Region II- Norte,,,,
CO,Cauca,La Sierra,Pacific,Sur Occidente,,Sur,
MX,Oaxaca,Santo Domingo Tepuxtepec,Southwest,Area 6,,,
CL,Los Lagos,Puyehue,Southern,Sur,,,
BR,Minas Gerais,Alpinópolis,Sudeste,,,,AM de Rest of Minas
CR,Heredia,La Puebla,Other,,,,
CR,Cartago,Hervidero,Cartago,,,,
BR,Maranhão,Gonçalves Dias,Nordeste,,,,
BR,Bahia,Serra Preta,Nordeste,,,,AM de Rest of Bahia
BR,Amapá,Serra do Navio,Norte,,,,
CO,Boyacá,Tutasá,Oriental,Centro,,Andes,
PY,Presidente Hayes,Campo Aceval,Occidental,,,,
BR,Paraíba,Capim,Nordeste,,,,
BR,Pará,Quatipuru,Norte,,,,
PE,Tacna,Tarata,South,,,,
MX,Michoacán de Ocampo,Maravatío,West,Area 3,Occidente,Sureste,
PA,Bocas del Toro,,Other,,,,
BR,Bahia,Santa Inês,Nordeste,,,,AM de Rest of Bahia
MX,Veracruz de Ignacio de la Llave,Nautla,East,Area 6,,,
BR,Minas Gerais,Carmo do Paranaíba,Sudeste,,,,AM de Rest of Minas
BR,Piauí,Bom Princípio do Piauí,Nordeste,,,,
BR,Rio Grande do Norte,Florânia,Nordeste,,,,
NI,Boaco,Aguas Calientes,Region III,,,,
BR,Minas Gerais,Alpercata,Sudeste,,,,AM de Rest of Minas
PE,Lima,Lima,,,,,AM de Lima
PR,Humacao,Humacao,Other,,,,San Juan
BR,Paraná,Luiziana,Sul,,,,AM de Rest of Parana
CO,Cauca,Piendamó,Pacific,Sur Occidente,,Sur,AM de Popayán
BR,Minas Gerais,Congonhas do Norte,Sudeste,,,,AM de Rest of Minas
BR,Minas Gerais,Carmo da Cachoeira,Sudeste,,,,AM de Rest of Minas
SG,Bukit Panjang,,West Region,,,,
BR,Rio Grande do Sul,Casca,Sul,,,,AM de Rest of Rio Grande do Sul
CO,Nariño,Taminango,Pacific,Sur Occidente,,Sur,
MX,Coahuila de Zaragoza,General Cepeda,Northeast,Area 2,Norte,Norte,
BR,Piauí,Queimada Nova,Nordeste,,,,
SV,San Miguel,Chilamate,Oriental,,,,
NI,Managua,La Zopilota,Region I,,,,
GT,Quetzaltenango,San Francisco La Unión,Region VI- Suroccidental,,,,
NI,Managua,Barrio Los Hidalgos,Region I,,,,
SV,Morazán,Torola,Oriental,,,,
GT,Quetzaltenango,San Carlos Sija,Region VI- Suroccidental,,,,
VE,Sucre,Cumaná,,,,,
SV,La Paz,El Cerro,Paracentral,,,,
CR,Limón,Blanco,Other,,,,
SV,Usulután,Joya Ancha Abajo,Oriental,,,,
PY,Concepción,Azote'y,Oriental,,,,
BR,Minas Gerais,São José do Goiabal,Sudeste,,,,AM de Rest of Minas
BR,Minas Gerais,Ninheira,Sudeste,,,,AM de Rest of Minas
MX,Nayarit,San Pedro Lagunillas,West,Area 1,Centro,Central Bajio,
MX,Oaxaca,San Felipe Tejalapam,Southwest,Area 6,,,
SV,San Salvador,Hacienda Palmira,Central,,,,
CR,Puntarenas,Coyolar,Other,,,,
SV,La Union ,Agua Blanca,Oriental,,,,
UY,Lavalleja,Canepa,Este,,,,
SV,Sonsonate,Los Cóbanos,Occidental,,,,
CR,Heredia,Común,Other,,,,
MX,Jalisco,San Juanito de Escobedo,West,Area 3,Occidente,Sureste,
CO,Valle del Cauca,Vijes,,Sur Occidente,,Sur,
SV,Cabañas,Xilobasco,Paracentral,,,,
CO,Guainía,La Guadalupe,Amazonica,Oriente,,,
SV,San Salvador,El Zapote,Central,,,,
CR,Alajuela,Cerrillal,Alajuela,,,,
BR,Goiás,Matrinchã,Centro-Oeste,,,,AM de Rest of Goias
SV,La Libertad,Cuyagualo,Central,,,,
CL,Atacama,,Little North,Norte,,,
BR,Goiás,Panamá,Centro-Oeste,,,,AM de Rest of Goias
MX,Hidalgo,Tenango de Doria,East,Area 4,Sur,Occidente Pacífico,
PY,Ñeembucú,Humaitá,Oriental,,,,
CR,Alajuela,Muelle del Arenal,Alajuela,,,,
SV,San Salvador,Santa Bárbara,Central,,,,
SV,Cuscatlán,Veracruz,Central,,,,
MX,Oaxaca,Santiago Laollaga,Southwest,Area 6,,,
MX,Puebla,Vicente Guerrero,East,Area 4,Sur,Occidente Pacífico,
NI,Carazo,Amaya,Region II,,,,
CR,Limón,Corina,Other,,,,
MX,San Luis Potosí,Villa Hidalgo,North-Central,Area 2,Norte,Norte,
SV,San Salvador,La Cabaña,Central,,,,
BR,Goiás,Córrego do Ouro,Centro-Oeste,,,,AM de Rest of Goias
SV,Santa Ana,El Matazano,Occidental,,,,
SV,La Union ,El Guásimo,Oriental,,,,
SV,Santa Ana,Caserío La Joya,Occidental,,,,
CR,Puntarenas,Dominicas,Other,,,,
NI,Managua,Salto,Region I,,,,
CR,Alajuela,Balsa,Alajuela,,,,
PE,Lambayeque,Lambayeque,,,,,AM de Chiclayo
CO,Córdoba,Montería,,Costa Atlantica,,Norte,AM de Montería
NI,León,Bordo Las Tinajas,Region II,,,,
CR,Guanacaste,Jesús,Other,,,,
MX,Oaxaca,San Juan Lachao,Southwest,Area 6,,,
SV,La Union ,La Cañada,Oriental,,,,
MX,Chiapas,Marqués de Comillas,Southwest,Area 6,,,
MX,Sonora,Huachinera,Northwest,Area 1,Centro,Central Bajio,
NI,Rivas,San Francisco,Region II,,,,
NI,Matagalpa,Las Cuatro Esquinas,Region III,,,,
SV,San Miguel,San José Gualozo,Oriental,,,,
NI,Rivas,Peñas Blancas,Region II,,,,
SV,Morazán,San Lucas,Oriental,,,,
CO,Antioquia,Ituango,Central,Antioquia / Eje Cafetero,,Centro,AM de Medellín
BR,Minas Gerais,Frei Lagonegro,Sudeste,,,,AM de Rest of Minas
UY,Colonia,Minuano,Litoral,,,,
SV,Cuscatlán,Jiñuco,Central,,,,
NI,Carazo,Los Encuentros,Region II,,,,
DO,Espaillat,,,,,,
SV,La Paz,San José La Montaña,Paracentral,,,,
CR,Cartago,Tres de Junio,Cartago,,,,
SV,La Union ,Yologual,Oriental,,,,
SV,La Paz,La Zambombera,Paracentral,,,,
SV,Sonsonate,Cantón Peña Blanca,Occidental,,,,
GT,Sacatepéquez,Magdalena Milpas Altas,,,,,
CO,Boyacá,Sogamoso,Oriental,Centro,,Andes,AM de Bogotá
CR,Guanacaste,Boquerones,Other,,,,
